id1,id2,ddi_risk
DB00176,DB00193,Significant
DB00176,DB00195,"Potentially significant"
DB00176,DB00201,"Potentially significant"
DB00176,DB00213,"Potentially significant"
DB00176,DB00215,"Potentially significant"
DB00176,DB00220,"Potentially significant"
DB00176,DB00252,"Potentially significant"
DB00176,DB00252,Significant
DB00176,DB00268,"Potentially significant"
DB00176,DB00277,"Potentially significant"
DB00176,DB00277,Significant
DB00176,DB00281,"Potentially significant"
DB00176,DB00285,Significant
DB00176,DB00286,"Potentially significant"
DB00176,DB00296,"Potentially significant"
DB00176,DB00315,Significant
DB00176,DB00333,Critical
DB00176,DB00334,"Potentially significant"
DB00176,DB00338,"Potentially significant"
DB00176,DB00342,Critical
DB00176,DB00344,Significant
DB00176,DB00349,"Potentially significant"
DB00176,DB00363,"Potentially significant"
DB00176,DB00370,"Potentially significant"
DB00176,DB00379,"Potentially significant"
DB00176,DB00379,Significant
DB00176,DB00382,Significant
DB00176,DB00395,"Potentially significant"
DB00176,DB00396,"Potentially significant"
DB00176,DB00404,Significant
DB00176,DB00448,"Potentially significant"
DB00176,DB00458,"Potentially significant"
DB00176,DB00458,Significant
DB00176,DB00475,Significant
DB00176,DB00476,"Potentially significant"
DB00176,DB00499,"Potentially significant"
DB00176,DB00532,Significant
DB00176,DB00540,Significant
DB00176,DB00571,"Potentially significant"
DB00176,DB00582,"Potentially significant"
DB00176,DB00601,Critical
DB00176,DB00628,Significant
DB00176,DB00655,"Potentially significant"
DB00176,DB00665,"Potentially significant"
DB00176,DB00679,Critical
DB00176,DB00682,Significant
DB00176,DB00683,Significant
DB00176,DB00690,Significant
DB00176,DB00697,Critical
DB00176,DB00697,"Potentially significant"
DB00176,DB00726,"Potentially significant"
DB00176,DB00726,Significant
DB00176,DB00736,"Potentially significant"
DB00176,DB00738,"Potentially significant"
DB00176,DB00740,"Potentially significant"
DB00176,DB00752,Critical
DB00176,DB00758,"Potentially significant"
DB00176,DB00780,Critical
DB00176,DB00783,"Potentially significant"
DB00176,DB00801,Significant
DB00176,DB00829,"Potentially significant"
DB00176,DB00829,Significant
DB00176,DB00831,"Potentially significant"
DB00176,DB00851,"Potentially significant"
DB00176,DB00897,Significant
DB00176,DB00924,"Potentially significant"
DB00176,DB00933,Significant
DB00176,DB00952,Significant
DB00176,DB00953,Significant
DB00176,DB00969,"Potentially significant"
DB00176,DB00980,"Potentially significant"
DB00176,DB00998,Significant
DB00176,DB01037,Critical
DB00176,DB01058,Significant
DB00176,DB01068,Significant
DB00176,DB01100,Critical
DB00176,DB01100,"Potentially significant"
DB00176,DB01129,"Potentially significant"
DB00176,DB01166,"Potentially significant"
DB00176,DB01168,Critical
DB00176,DB01171,"Potentially significant"
DB00176,DB01174,"Potentially significant"
DB00176,DB01175,"Potentially significant"
DB00176,DB01181,"Potentially significant"
DB00176,DB01223,"Potentially significant"
DB00176,DB01223,Significant
DB00176,DB01242,"Potentially significant"
DB00176,DB01247,Critical
DB00176,DB01320,"Potentially significant"
DB00176,DB01320,Significant
DB00176,DB01367,"Potentially significant"
DB00176,DB01367,Significant
DB00176,DB01558,"Potentially significant"
DB00176,DB01588,Significant
DB00176,DB01589,Significant
DB00176,DB01623,"Potentially significant"
DB00176,DB01626,Critical
DB00176,DB04574,"Potentially significant"
DB00176,DB04951,"Potentially significant"
DB00176,DB05246,"Potentially significant"
DB00176,DB06204,Significant
DB00176,DB06414,"Potentially significant"
DB00176,DB06594,"Potentially significant"
DB00176,DB08824,Significant
DB00176,DB08910,"Potentially significant"
DB00176,DB09071,"Potentially significant"
DB00176,DB09118,"Potentially significant"
DB00176,DB09290,"Potentially significant"
DB00178,DB00384,Significant
DB00178,DB00421,Significant
DB00181,DB01440,Critical
DB00181,DB09072,Critical
DB00182,DB00752,Critical
DB00182,DB00780,Critical
DB00182,DB01247,Critical
DB00182,DB01626,Critical
DB00182,DB08824,Significant
DB00186,DB00333,Significant
DB00187,DB01023,Significant
DB00188,DB00252,Significant
DB00188,DB00564,Significant
DB00188,DB00615,Significant
DB00188,DB00794,Significant
DB00188,DB01045,Significant
DB00188,DB01174,Significant
DB00188,DB01234,Significant
DB00188,DB01320,Significant
DB00191,DB08824,Significant
DB00193,DB00216,Significant
DB00193,DB00285,Significant
DB00193,DB00315,Significant
DB00193,DB00344,Significant
DB00193,DB00458,Significant
DB00193,DB00508,Critical
DB00193,DB00540,Significant
DB00193,DB00543,Significant
DB00193,DB00564,Significant
DB00193,DB00669,Significant
DB00193,DB00682,Significant
DB00193,DB00726,Significant
DB00193,DB00831,Critical
DB00193,DB00918,Significant
DB00193,DB00934,Significant
DB00193,DB00952,Significant
DB00193,DB00953,Significant
DB00193,DB00998,Significant
DB00193,DB01142,Significant
DB00193,DB01151,Significant
DB00193,DB01168,Critical
DB00193,DB01242,Significant
DB00195,DB00280,Significant
DB00195,DB00328,Significant
DB00195,DB00554,Significant
DB00195,DB00575,Significant
DB00195,DB00605,Significant
DB00195,DB00661,Critical
DB00195,DB00668,Significant
DB00195,DB00672,Significant
DB00195,DB00839,Significant
DB00195,DB01016,Significant
DB00195,DB01023,Significant
DB00195,DB01067,Significant
DB00195,DB01124,Significant
DB00196,DB00188,"Potentially significant"
DB00196,DB00204,"Avoid combination"
DB00196,DB00213,"Potentially significant"
DB00196,DB00215,"Avoid combination"
DB00196,DB00215,"Potentially significant"
DB00196,DB00220,"Potentially significant"
DB00196,DB00227,Critical
DB00196,DB00246,"Avoid combination"
DB00196,DB00246,Significant
DB00196,DB00252,"Potentially significant"
DB00196,DB00252,Significant
DB00196,DB00261,"Avoid combination"
DB00196,DB00280,"Avoid combination"
DB00196,DB00308,"Avoid combination"
DB00196,DB00338,"Potentially significant"
DB00196,DB00342,"Avoid combination"
DB00196,DB00349,"Potentially significant"
DB00196,DB00391,"Avoid combination"
DB00196,DB00395,"Potentially significant"
DB00196,DB00396,"Potentially significant"
DB00196,DB00448,"Potentially significant"
DB00196,DB00458,Critical
DB00196,DB00458,"Potentially significant"
DB00196,DB00468,"Avoid combination"
DB00196,DB00472,"Avoid combination"
DB00196,DB00489,"Avoid combination"
DB00196,DB00539,"Avoid combination"
DB00196,DB00540,Significant
DB00196,DB00541,Critical
DB00196,DB00570,Critical
DB00196,DB00582,"Potentially significant"
DB00196,DB00604,"Avoid combination"
DB00196,DB00615,Critical
DB00196,DB00637,"Avoid combination"
DB00196,DB00641,Critical
DB00196,DB00665,"Potentially significant"
DB00196,DB00679,"Avoid combination"
DB00196,DB00679,Critical
DB00196,DB00682,Critical
DB00196,DB00683,Significant
DB00196,DB00726,"Potentially significant"
DB00196,DB00736,"Potentially significant"
DB00196,DB00738,"Potentially significant"
DB00196,DB00758,"Potentially significant"
DB00196,DB00829,"Potentially significant"
DB00196,DB00834,"Avoid combination"
DB00196,DB00864,Significant
DB00196,DB00875,"Avoid combination"
DB00196,DB00877,Significant
DB00196,DB00897,Significant
DB00196,DB00908,"Avoid combination"
DB00196,DB00932,Significant
DB00196,DB00946,Critical
DB00196,DB01035,"Avoid combination"
DB00196,DB01045,Significant
DB00196,DB01095,Critical
DB00196,DB01100,"Avoid combination"
DB00196,DB01100,Significant
DB00196,DB01118,"Avoid combination"
DB00196,DB01129,"Potentially significant"
DB00196,DB01166,"Potentially significant"
DB00196,DB01169,"Avoid combination"
DB00196,DB01171,"Potentially significant"
DB00196,DB01174,"Potentially significant"
DB00196,DB01175,"Avoid combination"
DB00196,DB01175,"Potentially significant"
DB00196,DB01181,"Potentially significant"
DB00196,DB01201,Critical
DB00196,DB01208,"Avoid combination"
DB00196,DB01218,"Avoid combination"
DB00196,DB01224,"Avoid combination"
DB00196,DB01227,"Avoid combination"
DB00196,DB01242,"Potentially significant"
DB00196,DB01244,"Avoid combination"
DB00196,DB01267,"Avoid combination"
DB00196,DB01320,"Potentially significant"
DB00196,DB01320,Significant
DB00196,DB01601,"Avoid combination"
DB00196,DB01624,"Avoid combination"
DB00196,DB04844,"Avoid combination"
DB00196,DB04855,"Avoid combination"
DB00196,DB04855,Critical
DB00196,DB04868,"Avoid combination"
DB00196,DB04946,"Avoid combination"
DB00196,DB05246,"Potentially significant"
DB00196,DB05294,"Avoid combination"
DB00196,DB06216,"Avoid combination"
DB00196,DB06287,Significant
DB00196,DB06414,"Potentially significant"
DB00196,DB06697,"Avoid combination"
DB00196,DB06708,"Avoid combination"
DB00196,DB08881,"Avoid combination"
DB00196,DB09083,"Avoid combination"
DB00196,DB09118,"Potentially significant"
DB00196,DB09167,"Avoid combination"
DB00197,DB00537,Significant
DB00197,DB01044,Significant
DB00197,DB01059,Significant
DB00197,DB01137,Significant
DB00197,DB01165,Significant
DB00199,DB00067,Significant
DB00199,DB00091,"Potentially significant"
DB00199,DB00175,"Potentially significant"
DB00199,DB00199,"Potentially significant"
DB00199,DB00203,Significant
DB00199,DB00204,"Avoid combination"
DB00199,DB00215,"Avoid combination"
